,lon,lat
Bemowo,20.9125573,52.2421087
Białołęka,21.0206194,52.3315662
Bielany,20.0210888,52.81907
Mokotów,21.0457809,52.1939874
Ochota,20.970357505294206,52.2104853
Praga,18.9321787,51.8895645
Rembertów,21.1628191,52.2614149
Targówek,21.0580854,52.2751918
Ursus,20.8828989,52.1960985
Ursynów,21.0323214,52.141039
Wawer,21.1370825,52.2203581
Wesoła,21.2292763,52.2517942
Wilanów,21.1104411,52.1530829
Wola,20.2730003,52.3985938
Włochy,12.674297,42.6384261
Śródmieście,21.019067,52.2328098
Żoliborz,20.9796975,52.2675944
