housing_type,price,size,price_per_sq,rooms,neighbourhood,website,date
mieszkanie,987100,47.79,20654.95,2,Mokotów,Domiporta,22/10/2023
mieszkanie,989800,47.92,20655.26,2,Mokotów,Domiporta,22/10/2023
mieszkanie,1506800,96.39,15632.33,4,ul. Rybałtów róg Wilczy Dół,Domiporta,22/10/2023
mieszkanie,1015300,52.7,19265.65,2,ul. Rybałtów róg Wilczy Dół,Domiporta,22/10/2023
mieszkanie,1521400,87.93,17302.4,3,ul. Rybałtów róg Wilczy Dół,Domiporta,22/10/2023
mieszkanie,1270000,72.18,17594.9,3,Bemowo,Domiporta,22/10/2023
mieszkanie,720000,48.07,14978.16,3,Śródmieście,Domiporta,22/10/2023
mieszkanie,850000,56.2,15124.56,3,Mokotów,Domiporta,22/10/2023
mieszkanie,765000,73.68,10382.74,3,Fabryczna,Domiporta,22/10/2023
mieszkanie,625000,34.0,18382.35,2,Ursynów,Domiporta,22/10/2023
mieszkanie,699000,52.72,13258.73,2,Praga-Południe,Domiporta,22/10/2023
mieszkanie,780000,78.55,9929.98,3,Pawia,Domiporta,22/10/2023
mieszkanie,1259556,146.46,8600.0,4,Wilanów,Domiporta,22/10/2023
mieszkanie,500000,28.0,17857.14,1,Mokotów,Domiporta,22/10/2023
mieszkanie,1100000,61.9,17770.6,4,Ochota,Domiporta,22/10/2023
mieszkanie,799000,62.3,12825.04,2,Ursynów,Domiporta,22/10/2023
mieszkanie,595254,68.38,8705.09,3,Powstańców,Domiporta,22/10/2023
mieszkanie,588412,51.83,11352.73,2,Powstańców,Domiporta,22/10/2023
mieszkanie,304000,27.38,11102.99,0,Wiśniowa dz. 5/53,Domiporta,22/10/2023
mieszkanie,298000,27.7,10758.12,0,Wiśniowa dz. 5/53,Domiporta,22/10/2023
mieszkanie,305000,27.7,11010.83,0,Wiśniowa dz. 5/53,Domiporta,22/10/2023
mieszkanie,332000,33.67,9860.41,0,Wiśniowa dz. 5/53,Domiporta,22/10/2023
mieszkanie,729000,91.0,8010.99,4,Sekretna,Domiporta,22/10/2023
mieszkanie,743000,94.0,7904.26,4,Sekretna,Domiporta,22/10/2023
mieszkanie,1610000,158.0,10189.87,0,Wawer,Domiporta,22/10/2023
mieszkanie,1533000,158.0,9702.53,0,Wawer,Domiporta,22/10/2023
mieszkanie,987100,47.79,20654.95,2,Mokotów,Domiporta,22/10/2023
mieszkanie,989800,47.92,20655.26,2,Mokotów,Domiporta,22/10/2023
mieszkanie,1506800,96.39,15632.33,4,ul. Rybałtów róg Wilczy Dół,Domiporta,22/10/2023
mieszkanie,1015300,52.7,19265.65,2,ul. Rybałtów róg Wilczy Dół,Domiporta,22/10/2023
mieszkanie,1521400,87.93,17302.4,3,ul. Rybałtów róg Wilczy Dół,Domiporta,22/10/2023
mieszkanie,1450000,66.0,21969.7,3,Wola,Domiporta,23/10/2023
mieszkanie,459000,26.9,17063.2,1,Ochota,Domiporta,23/10/2023
mieszkanie,1075000,118.57,9066.37,4,Białołęka,Domiporta,23/10/2023
mieszkanie,1270000,65.19,19481.52,3,Śródmieście,Domiporta,23/10/2023
mieszkanie,2200000,122.81,17913.85,4,Mokotów,Domiporta,23/10/2023
mieszkanie,890000,80.0,11125.0,4,Bielany,Domiporta,23/10/2023
mieszkanie,1100000,61.9,17770.6,4,Ochota,Domiporta,23/10/2023
mieszkanie,1999999,140.0,14285.71,4,Ursynów,Domiporta,23/10/2023
mieszkanie,588412,68.38,8605.03,3,Powstańców,Domiporta,23/10/2023
mieszkanie,476836,51.83,9200.0,2,Powstańców,Domiporta,23/10/2023
mieszkanie,298000,27.7,10758.12,0,Wiśniowa dz. 5/53,Domiporta,23/10/2023
mieszkanie,336000,33.67,9979.21,0,Wiśniowa dz. 5/53,Domiporta,23/10/2023
mieszkanie,285000,27.7,10288.81,0,Wiśniowa dz. 5/53,Domiporta,23/10/2023
mieszkanie,296000,27.38,10810.81,0,Wiśniowa dz. 5/53,Domiporta,23/10/2023
mieszkanie,1113000,52.04,21387.39,2,Fajansowa 5,Domiporta,23/10/2023
mieszkanie,1377000,67.66,20351.76,3,Fajansowa 5,Domiporta,23/10/2023
mieszkanie,1630000,148.3,10991.23,0,Wawer,Domiporta,23/10/2023
mieszkanie,1463000,158.0,9259.49,0,Wawer,Domiporta,23/10/2023
mieszkanie,1452000,158.0,9189.87,0,Wawer,Domiporta,23/10/2023
mieszkanie,770000,105.79,7278.57,4,Wesoła,Domiporta,23/10/2023
mieszkanie,689000,96.62,7131.03,4,Wesoła,Domiporta,23/10/2023
mieszkanie,689000,96.62,7131.03,4,Wesoła,Domiporta,23/10/2023
mieszkanie,1990000,108.21,18390.17,3,Mokotów,Domiporta,23/10/2023
mieszkanie,1450000,66.0,21969.7,3,Wola,Domiporta,23/10/2023
mieszkanie,459000,26.9,17063.2,1,Ochota,Domiporta,23/10/2023
mieszkanie,1075000,118.57,9066.37,4,Białołęka,Domiporta,23/10/2023
mieszkanie,1270000,65.19,19481.52,3,Śródmieście,Domiporta,23/10/2023
mieszkanie,2200000,122.81,17913.85,4,Mokotów,Domiporta,23/10/2023
mieszkanie,759000,64.9,11694.92,3,Andersena,Domiporta,24/10/2023
mieszkanie,860000,64.0,13437.5,4,Mokotów,Domiporta,24/10/2023
mieszkanie,760000,61.5,12357.72,3,Mokotów,Domiporta,24/10/2023
mieszkanie,780000,53.0,14716.98,3,Wola,Domiporta,24/10/2023
mieszkanie,949000,43.0,22069.77,2,Żoliborz,Domiporta,24/10/2023
mieszkanie,1015000,70.0,14500.0,3,Wesoła,Domiporta,24/10/2023
mieszkanie,720000,38.62,18643.19,2,Wola,Domiporta,24/10/2023
mieszkanie,650000,46.5,13978.49,2,Wilanów,Domiporta,24/10/2023
mieszkanie,915000,55.5,16486.49,2,Ochota,Domiporta,24/10/2023
mieszkanie,1799000,53.3,33752.35,3,Śródmieście,Domiporta,24/10/2023
mieszkanie,1500000,95.7,15673.98,4,Ochota,Domiporta,24/10/2023
mieszkanie,1420000,91.0,15604.4,3,Mokotów,Domiporta,24/10/2023
mieszkanie,794200,36.1,22000.0,2,Wola,Domiporta,24/10/2023
mieszkanie,899000,37.0,24297.3,2,Śródmieście,Domiporta,24/10/2023
mieszkanie,600000,22.22,27002.7,1,Śródmieście,Domiporta,24/10/2023
mieszkanie,830000,42.4,19575.47,1,Śródmieście,Domiporta,24/10/2023
mieszkanie,330000,36.0,9166.67,2,Ołówkowa,Domiporta,24/10/2023
mieszkanie,690000,77.0,8961.04,3,Wawer,Domiporta,24/10/2023
mieszkanie,730000,56.0,13035.71,3,Żoliborz,Domiporta,24/10/2023
mieszkanie,529000,40.74,12984.78,2,Włochy,Domiporta,24/10/2023
mieszkanie,1240000,53.0,23396.23,3,Wilanów,Domiporta,24/10/2023
mieszkanie,799000,55.75,14331.84,2,Mokotów,Domiporta,24/10/2023
mieszkanie,720000,60.0,12000.0,3,Praga-Północ,Domiporta,24/10/2023
mieszkanie,1699000,135.0,12585.19,3,Śródmieście,Domiporta,24/10/2023
mieszkanie,695000,30.3,22937.29,1,Śródmieście,Domiporta,24/10/2023
mieszkanie,860000,35.73,24069.41,2,Wola,Domiporta,24/10/2023
mieszkanie,570000,36.0,15833.33,2,Mokotów,Domiporta,24/10/2023
mieszkanie,854392,55.48,15400.0,2,Wilanów,Domiporta,24/10/2023
mieszkanie,850000,59.5,14285.71,2,Mokotów,Domiporta,24/10/2023
mieszkanie,799997,40.0,19999.92,2,Żoliborz,Domiporta,24/10/2023
mieszkanie,750000,53.0,14150.94,3,Bielany,Domiporta,24/10/2023
mieszkanie,790000,49.87,15841.19,3,Mokotów,Domiporta,24/10/2023
mieszkanie,1130000,59.0,19152.54,3,Wola,Domiporta,24/10/2023
mieszkanie,1200000,40.0,30000.0,2,Śródmieście,Domiporta,24/10/2023
mieszkanie,499000,24.0,20791.67,1,Śródmieście,Domiporta,24/10/2023
mieszkanie,1352910,69.38,19500.0,3,Mokotów,Domiporta,24/10/2023
mieszkanie,759000,64.9,11694.92,3,Andersena,Domiporta,24/10/2023
mieszkanie,860000,64.0,13437.5,4,Mokotów,Domiporta,24/10/2023
mieszkanie,760000,61.5,12357.72,3,Mokotów,Domiporta,24/10/2023
mieszkanie,780000,53.0,14716.98,3,Wola,Domiporta,24/10/2023
mieszkanie,949000,43.0,22069.77,2,Żoliborz,Domiporta,24/10/2023
mieszkanie,3000000,135.0,22222.0,5,Mokotów,Morizon,24/10/2023
mieszkanie,670000,42.0,15952.0,2,Nowolipki,Morizon,24/10/2023
kawalerka,399000,26.0,15346.0,1,Tarchomin,Morizon,24/10/2023
mieszkanie,880000,50.0,17485.0,2,Muranów,Morizon,24/10/2023
mieszkanie,1450000,108.0,13426.0,4,Grochów,Morizon,24/10/2023
kawalerka,505000,31.0,15880.0,1,Tarchomin,Morizon,24/10/2023
mieszkanie,2000000,104.0,19231.0,5,Wilanów,Morizon,24/10/2023
mieszkanie,720000,48.0,14978.0,3,Śródmieście,Morizon,24/10/2023
mieszkanie,669000,49.0,13543.0,4,Służew,Morizon,24/10/2023
mieszkanie,845000,50.0,16900.0,2,Mokotów,Morizon,24/10/2023
mieszkanie,1699000,130.0,13019.0,4,Ursynów,Morizon,24/10/2023
mieszkanie,1300000,77.0,16740.0,4,Ochota,Morizon,24/10/2023
mieszkanie,1120000,81.0,13803.0,5,Ochota,Morizon,24/10/2023
mieszkanie,1120000,81.0,13803.0,5,Włochy,Morizon,24/10/2023
mieszkanie,911500,105.0,8644.0,4,Wawer,Morizon,24/10/2023
mieszkanie,1509628,38.0,38908.0,2,Ochota,Morizon,24/10/2023
mieszkanie,1650000,76.0,21608.0,3,Śródmieście,Morizon,24/10/2023
mieszkanie,2750000,109.0,25091.0,3,Żoliborz,Morizon,24/10/2023
mieszkanie,1299000,66.0,19537.0,3,Wilanów,Morizon,24/10/2023
mieszkanie,985000,49.0,20053.0,2,Wilanów,Morizon,24/10/2023
mieszkanie,849000,57.0,14788.0,3,Wesoła,Morizon,24/10/2023
mieszkanie,1655000,77.0,21494.0,3,Żoliborz,Morizon,24/10/2023
mieszkanie,3200000,197.46,16205.81,4,Śródmieście,Domiporta,25/10/2023
mieszkanie,620000,25.0,24800.0,1,Praga-Północ,Domiporta,25/10/2023
mieszkanie,8900000,165.0,53939.39,4,Śródmieście,Domiporta,25/10/2023
mieszkanie,4900000,173.66,28216.05,4,Mokotów,Domiporta,25/10/2023
mieszkanie,2250000,140.0,16071.43,4,Mokotów,Domiporta,25/10/2023
mieszkanie,2100000,167.1,12567.32,4,Wilanów,Domiporta,25/10/2023
mieszkanie,1640000,101.36,16179.95,4,Wilanów,Domiporta,25/10/2023
mieszkanie,6500000,252.0,25793.65,6,Mokotów,Domiporta,25/10/2023
mieszkanie,1540000,64.0,24062.5,3,Mokotów,Domiporta,25/10/2023
mieszkanie,1281824,76.39,16780.0,3,Edmunda Jana Osmańczyka,Domiporta,25/10/2023
mieszkanie,1450000,66.0,21969.7,3,Wola,Domiporta,25/10/2023
mieszkanie,1200000,63.05,19032.51,3,Wola,Domiporta,25/10/2023
mieszkanie,1059000,56.7,18677.25,2,Mokotów,Domiporta,25/10/2023
mieszkanie,567000,31.69,17892.08,2,Włochy,Domiporta,25/10/2023
mieszkanie,799000,38.0,21026.32,2,Śródmieście,Domiporta,25/10/2023
mieszkanie,545000,21.0,25952.38,1,Wola,Domiporta,25/10/2023
mieszkanie,720000,38.62,18643.19,2,Wola,Domiporta,25/10/2023
mieszkanie,750000,37.0,20270.27,2,Mokotów,Domiporta,25/10/2023
mieszkanie,1181250,62.55,18884.89,3,Wola,Domiporta,25/10/2023
mieszkanie,855000,42.92,19920.78,2,Mokotów,Domiporta,25/10/2023
mieszkanie,830000,40.75,20368.1,2,Mokotów,Domiporta,25/10/2023
mieszkanie,780000,48.0,16250.0,3,Wola,Domiporta,25/10/2023
mieszkanie,1352910,69.38,19500.0,3,Mokotów,Domiporta,25/10/2023
mieszkanie,770000,38.0,20263.16,2,Śródmieście,Domiporta,25/10/2023
mieszkanie,1953000,60.17,32458.04,2,Śródmieście,Domiporta,25/10/2023
mieszkanie,680000,135.0,5037.04,5,Wawer,Domiporta,25/10/2023
mieszkanie,790000,49.87,15841.19,3,Mokotów,Domiporta,25/10/2023
mieszkanie,1130000,59.0,19152.54,3,Wola,Domiporta,25/10/2023
mieszkanie,949000,43.0,22069.77,2,Żoliborz,Domiporta,25/10/2023
mieszkanie,1015000,70.0,14500.0,3,Wesoła,Domiporta,25/10/2023
mieszkanie,720000,38.62,18643.19,2,Wola,Domiporta,25/10/2023
mieszkanie,650000,46.5,13978.49,2,Wilanów,Domiporta,25/10/2023
mieszkanie,1200000,40.0,30000.0,2,Śródmieście,Domiporta,25/10/2023
mieszkanie,915000,55.5,16486.49,2,Ochota,Domiporta,25/10/2023
mieszkanie,1799000,53.3,33752.35,3,Śródmieście,Domiporta,25/10/2023
mieszkanie,1500000,95.7,15673.98,4,Ochota,Domiporta,25/10/2023
mieszkanie,3200000,197.46,16205.81,4,Śródmieście,Domiporta,25/10/2023
mieszkanie,620000,25.0,24800.0,1,Praga-Północ,Domiporta,25/10/2023
mieszkanie,8900000,165.0,53939.39,4,Śródmieście,Domiporta,25/10/2023
mieszkanie,4900000,173.66,28216.05,4,Mokotów,Domiporta,25/10/2023
mieszkanie,2250000,140.0,16071.43,4,Mokotów,Domiporta,25/10/2023
mieszkanie,1620984,85.45,18969.97,4,Wola,Domiporta,26/10/2023
mieszkanie,921000,54.2,16992.62,2,Bielany,Domiporta,26/10/2023
mieszkanie,500000,28.0,17857.14,1,Mokotów,Domiporta,26/10/2023
mieszkanie,1502000,158.0,9506.33,0,Wawer,Domiporta,26/10/2023
mieszkanie,1510000,158.0,9556.96,0,Wawer,Domiporta,26/10/2023
mieszkanie,1421000,148.3,9581.93,0,Wawer,Domiporta,26/10/2023
mieszkanie,770000,105.79,7278.57,4,Wesoła,Domiporta,26/10/2023
mieszkanie,770000,96.62,7969.36,4,Wesoła,Domiporta,26/10/2023
mieszkanie,770000,96.62,7969.36,4,Wesoła,Domiporta,26/10/2023
mieszkanie,572009,58.97,9700.0,3,Białołęka,Domiporta,26/10/2023
mieszkanie,504112,51.44,9800.0,3,Białołęka,Domiporta,26/10/2023
