housing_type,price,size,price_per_sq,rooms,neighbourhood,website,date,lon,lat
mieszkanie,1270000,72.18,17594.9,3,Bemowo,Domiporta,22/10/2023,20.9125573,52.2421087
mieszkanie,785000,60.0,13083.0,2,Bemowo,Morizon,28/10/2023,20.9125573,52.2421087
mieszkanie,1230000,72.18,17040.73,3,Bemowo,Domiporta,28/10/2023,20.9125573,52.2421087
mieszkanie,840000,47.11,17830.61,2,Bemowo,Domiporta,31/10/2023,20.9125573,52.2421087
mieszkanie,1300000,86.0,15116.28,3,Bemowo,Domiporta,31/10/2023,20.9125573,52.2421087
mieszkanie,725200,49.0,14800.0,2,Bemowo,Domiporta,31/10/2023,20.9125573,52.2421087
mieszkanie,748000,64.0,11687.5,3,Bemowo,Domiporta,31/10/2023,20.9125573,52.2421087
mieszkanie,990000,58.73,16856.8,2,Bemowo,Domiporta,3/11/2023,20.9125573,52.2421087
mieszkanie,685000,59.7,11474.04,3,Bemowo,Domiporta,3/11/2023,20.9125573,52.2421087
mieszkanie,655000,59.76,10960.51,3,Bemowo,Domiporta,3/11/2023,20.9125573,52.2421087
mieszkanie,569000,46.8,12158.12,2,Bemowo,Domiporta,8/11/2023,20.9125573,52.2421087
mieszkanie,799000,61.7,12949.76,3,Bemowo,Domiporta,8/11/2023,20.9125573,52.2421087
mieszkanie,1075000,118.57,9066.37,4,Białołęka,Domiporta,23/10/2023,21.0206194,52.3315662
mieszkanie,572009,58.97,9700.0,3,Białołęka,Domiporta,26/10/2023,21.0206194,52.3315662
mieszkanie,504112,51.44,9800.0,3,Białołęka,Domiporta,26/10/2023,21.0206194,52.3315662
mieszkanie,463419,46.81,9900.0,3,Białołęka,Domiporta,26/10/2023,21.0206194,52.3315662
mieszkanie,528953,46.81,11300.0,3,Białołęka,Domiporta,28/10/2023,21.0206194,52.3315662
mieszkanie,563164,58.97,9550.01,3,Białołęka,Domiporta,28/10/2023,21.0206194,52.3315662
mieszkanie,549000,40.0,13725.0,2,Białołęka,Domiporta,31/10/2023,21.0206194,52.3315662
mieszkanie,593975,51.65,11500.0,2,Białołęka,Domiporta,31/10/2023,21.0206194,52.3315662
mieszkanie,610000,53.0,11509.43,3,Białołęka,Domiporta,4/11/2023,21.0206194,52.3315662
mieszkanie,795000,60.46,13149.19,3,Białołęka,Domiporta,4/11/2023,21.0206194,52.3315662
mieszkanie,514400,51.44,10000.0,3,Białołęka,Domiporta,6/11/2023,21.0206194,52.3315662
mieszkanie,890000,80.0,11125.0,4,Bielany,Domiporta,23/10/2023,20.0210888,52.81907
mieszkanie,750000,53.0,14150.94,3,Bielany,Domiporta,24/10/2023,20.0210888,52.81907
mieszkanie,921000,54.2,16992.62,2,Bielany,Domiporta,26/10/2023,20.0210888,52.81907
mieszkanie,945000,70.21,13459.62,3,Bielany,Domiporta,26/10/2023,20.0210888,52.81907
mieszkanie,1350000,82.3,16403.4,3,Bielany,Domiporta,26/10/2023,20.0210888,52.81907
mieszkanie,2250000,106.96,21035.9,4,Bielany,Domiporta,30/10/2023,20.0210888,52.81907
mieszkanie,680000,54.35,12511.5,2,Bielany,Domiporta,30/10/2023,20.0210888,52.81907
mieszkanie,1134300,99.5,11400.0,4,Bielany,Domiporta,30/10/2023,20.0210888,52.81907
mieszkanie,575000,38.8,14819.59,2,Bielany,Domiporta,8/11/2023,20.0210888,52.81907
mieszkanie,987100,47.79,20654.95,2,Mokotów,Domiporta,22/10/2023,21.0457809,52.1939874
mieszkanie,989800,47.92,20655.26,2,Mokotów,Domiporta,22/10/2023,21.0457809,52.1939874
mieszkanie,850000,56.2,15124.56,3,Mokotów,Domiporta,22/10/2023,21.0457809,52.1939874
mieszkanie,500000,28.0,17857.14,1,Mokotów,Domiporta,22/10/2023,21.0457809,52.1939874
